Pilar;Metric;Direction;P50;P75;P90
Orientation;TotalDuration_s;HigherWorse;1.558354375;1.5893745;1.78545533
Orientation;AverageAngle_deg;HigherWorse;37.128985;41.5625725;44.03281868
Orientation;TimeLookingAway_s;HigherWorse;0.665325388;0.995417838;1.140410186
Orientation;PercentTimeLookingAway;HigherWorse;0.473702688;0.6160621;0.683864054
Orientation;EndedInDeath;HigherWorse;0.083333333;0.181818182;0.302184874
Trajectory;Duration;HigherWorse;1.557884225;1.610425305;1.79781165
Trajectory;Efficiency;LowerWorse;0.987404406;0.999187884;1
Trajectory;ZigZag_Average;HigherWorse;2.241985494;3.02841646;3.978059275
Trajectory;Curvature_Normalized;HigherWorse;9.609537875;11.07960773;12.34769053
Trajectory;MaxLateralOffset;HigherWorse;0.301029073;0.352128873;0.430447069
Trajectory;LandingError;HigherWorse;3.21010123;4.602019331;6.022218229
Trajectory;TotalDistance;HigherWorse;17.85437923;19.28690737;22.53728263
Trajectory;VerticalOscillation;HigherWorse;8.350658271;10.58714103;12.98457719
Trajectory;EndedInDeath;HigherWorse;0.041666667;0.120454545;0.22034632
Landing;LandingOffset_m;HigherWorse;2.051829547;2.852618237;3.963210603
Landing;LandingOffset_Forward_m;HigherWorse;0.777867043;1.15152555;1.790111286
Landing;LandingOffset_Side_m;HigherWorse;0.385690238;0.777512259;1.548200872
Landing;SafetyMargin_m;LowerWorse;1.279408;1.62519225;2.180826886
Landing;VerticalSpeed_mps;HigherWorse;-13.00423513;-17.18812688;-17.52091742
Landing;MicroCorrections_0_5s;HigherWorse;0.066666667;0.233333333;0.492810458
Landing;PreLandingHorizontalJitter;HigherWorse;0.777031974;1.40817333;3.103917472
Landing;PostStabilizationTime_s;HigherWorse;0.7677078;0.94824225;1.426126426
Landing;PostLandingDrift_m;HigherWorse;1.618956517;2.5125074;4.353658549
Landing;LandingFailed;HigherWorse;0.333333333;0.35;0.453445378
Landing;PostLandingFall;HigherWorse;0.166666667;0.25;0.321904762
Jitter;CurrentJitter;HigherWorse;0.565380759;0.941102817;1.291941045
Jitter;SmoothedJitter;HigherWorse;0.531074684;0.716465106;0.941188191
Jitter;IsHard;HigherWorse;0.001030397;0.00946671;0.261078559
Jitter;JitterPeak;HigherWorse;0.916255949;1.544514871;2.182565489
Jitter;JitterVariance;HigherWorse;0.056004051;0.238656853;0.588441809
Jitter;JitterStdDev;HigherWorse;0.209189114;0.46386717;0.705903998
Jitter;JitterEvents;HigherWorse;0.011930586;0.188378262;1.93283324
Jitter;OvershootCount;HigherWorse;6.528409091;6.876417143;7.098355098
Jitter;JitterArea;HigherWorse;5.824783253;11.83791267;13.2314719
Jitter;JitterDirectionBias;HigherWorse;0.000910964;0.001984956;0.003092189
Jitter;JitterClusters;HigherWorse;0.011930586;0.097188366;0.661961809
Movement;TimeOnPlatform;HigherWorse;1.445789474;1.646;2.015323529
Movement;RelativePositionStd;HigherWorse;0.329092105;0.422344262;0.475020202
Movement;RelativePositionMean;HigherWorse;6.021177465;6.457542857;7.165889905
Movement;RelativePositionMax;HigherWorse;6.592523529;7.225245902;7.732184
Movement;EdgeRiskTime;HigherWorse;0.266229508;0.382368421;0.443982353
Movement;CorrectionPeaks;HigherWorse;0;0.285714286;0.341176471
Movement;RawCorrectionsCount;HigherWorse;1.352941176;5.333333333;9.629411765
Obstacles;TimeToClear_s;HigherWorse;1.284438889;1.477434884;2.237195
Obstacles;ObstacleTouched;HigherWorse;0.363636364;0.5;0.8125
Obstacles;ContactDuration_s;HigherWorse;0.0893;0.146001667;0.17
Obstacles;ContactCount;HigherWorse;0.85106383;1.416666667;2.1
Obstacles;FirstContactTime_s;HigherWorse;-0.401809091;-0.220008333;0.279745
Obstacles;JetpackActiveTime_s;HigherWorse;0.2402;0.339901667;0.382615409
Obstacles;CrouchTime_s;HigherWorse;0;0.124329167;0.7411925
Obstacles;AirborneTime_s;HigherWorse;0.8044;1.203940426;1.38790705
Obstacles;ContactX;HigherWorse;66.55809302;96.23546667;113.0415495
Obstacles;ContactY;HigherWorse;1.805388889;2.252361111;2.716710383
Obstacles;ContactZ;HigherWorse;18.845525;30.4075;37.14194569
Multitasking;LapDuration_s;HigherWorse;20.1624;21.02363333;23.65154783
Multitasking;AttemptDuration_s;HigherWorse;45.7625;57.19825;274.0228667
Multitasking;LapProgress_0_1;LowerWorse;0.7096;0.754007246;0.929666667
Multitasking;DeathOccurred;HigherWorse;0.913043478;1;1
Multitasking;MeanDeviation_m;HigherWorse;9.130421053;10.573;11.701575
Multitasking;SpeedSD_mps;HigherWorse;4.48935;4.94185;5.567572
Multitasking;MicroCorrectionsRate_per_s;HigherWorse;2.6806;4.77839;5.72457
Multitasking;ObstacleHitRate;HigherWorse;0.179666667;0.258531579;0.295913043
