Checkpoint;Tiempo Absoluto (seg);Tiempo Desde Anterior (seg);Muertes entre checkpoints;Muertes totales;Muertes por enemigos;Muertes por vacío;Enemigos eliminados;Disparos Blaster;Acertados Blaster;Fallados Blaster;Precisión Blaster (%);Disparos Escopeta;Acertados Escopeta;Fallados Escopeta;Precisión Escopeta (%);Disparos Totales;Acertados Totales;Fallados Totales;Precisión Total (%)
Checkpoint_1;0.20;0.00;0;0;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_2;116.50;116.30;1;1;1;0;8;202;62;140;30.7;0;0;0;0.0;202;62;140;30.7
Checkpoint_3;166.42;49.92;0;1;0;0;0;48;27;21;56.3;0;0;0;0.0;48;27;21;56.3
Checkpoint_4;279.22;112.80;3;4;0;3;1;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_5;318.66;39.44;0;4;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_6;728.50;409.84;0;4;0;0;23;723;331;392;45.8;70;19;51;27.1;793;350;443;44.1
Checkpoint_7;740.22;11.72;0;4;0;0;4;26;21;5;80.8;2;1;1;50.0;28;22;6;78.6
Checkpoint_8;755.72;15.50;0;4;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_9;842.54;86.82;4;8;0;4;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_10;851.04;8.50;0;8;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Final_Level;1000.49;149.44;4;12;0;4;9;303;252;51;83.2;28;18;10;64.3;331;270;61;81.6
