AttemptID;StartTime;Duration;Efficiency;ZigZag_Average;Curvature_Normalized;MaxLateralOffset;LandingError;TotalDistance;VerticalOscillation;EndedInDeath;TargetAnchorName
1;3.360402;2.967285;0.2770632;5.555645;9.590047;0.9850915;40.26037;40.55196;13.33108;1;TargetAnchor1
2;9.962376;2.517617;1;5.309902;11.27133;0.8561527;16.53125;29.20807;9.593413;1;TargetAnchor1
3;17.16721;3.095554;1;5.689297;12.62683;0.8475755;28.36922;34.24348;9.309432;1;TargetAnchor1
4;30.01828;1.344822;1;4.38703;9.281406;0.4237205;0.2993653;14.18006;5.038813;0;TargetAnchor1
4;42.97571;1.544563;1;3.491796;7.746774;0.4340277;1.038808;16.22671;4.985348;0;TargetAnchor2
4;79.83935;1.404266;0;6.172173;12.42907;0.6160172;52.64161;14.89775;6.255194;0;TargetAnchor3
4;85.48976;1.171722;0.8681884;6.891331;19.90793;0.8204529;26.83664;9.346322;9.343905;0;TargetAnchor2
4;89.91709;1.147865;1;4.078917;8.60185;0.4122618;1.225502;12.32896;4.770585;0;TargetAnchor2
4;94.41708;1.339149;1;7.560478;12.43513;0.3736962;0.8772755;14.59184;5.201878;0;TargetAnchor3
4;120.6483;1.291786;0;5.893403;8.58264;0.6501329;51.91951;13.73331;5.091884;0;TargetAnchor4
4;124.399;1.481613;0;4.491224;7.833206;0.6055135;52.73577;16.054;6.405795;0;TargetAnchor3
4;128.4309;1.335007;0;5.345603;9.308908;0.4951642;47.77334;13.7819;3.879481;0;TargetAnchor2
4;157.4709;1.054291;1;4.190319;8.382464;0.631402;25.6453;11.99738;5.611598;0;TargetAnchor2
4;168.5233;1.332779;1;3.44259;7.139623;0.5049847;0.8842006;14.94761;6.858438;0;TargetAnchor2
