AttemptID;RetryNumber;WaveNumber;Death;CurrentJitter;SmoothedJitter;IsHard;JitterPeak;JitterVariance;JitterStdDev;JitterEvents;OvershootCount;JitterArea;JitterDirectionBias;JitterClusters
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;0.4528;0.2559;0;0.5162;0.0184;0.1357;0;6;5.3952;0.4528;0
1;0;0;0;0.4097;0.4487;0;0.5747;0.0020;0.0447;0;6;6.0957;-0.0431;0
1;0;0;0;0.4524;0.4727;0;0.5432;0.0011;0.0327;0;7;6.2093;0.0427;0
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
