AttemptID,SegmentId,TargetPlatform,LandingOffset_m,LandingOffset_Forward_m,LandingOffset_Side_m,SafetyMargin_m,VerticalSpeed_mps,ApproachAngle_deg,MicroCorrections_0_5s,PreLandingHorizontalJitter,PostStabilizationTime_s,PostLandingDrift_m,LandingFailed,PostLandingFall,LandingType
1,LandingSegment_1,TargetAnchor1,3.007841,0.5900879,2.94939,0,-5.420924,0,1,0.6788248,0.8504648,3.356212,1,0,MissedPlatform_Standing
1,LandingSegment_2,TargetAnchor2,2.141114,2.05899,-0.587307,1.192367,-6.743237,0,0,0,0.5835199,0.8509953,0,0,CleanLanding
1,LandingSegment_3,TargetAnchor3,1.445777,1.365593,-0.4747925,1.720826,-7.408683,0,0,1.93861,0,3.580948,1,1,HitThenFall
2,LandingSegment_4,TargetAnchor1,2.841112,0.4681244,2.80228,0.1531024,-3.375325,0,1,0.6614511,0.7286396,1.958647,0,0,EdgeLanding
2,LandingSegment_5,TargetAnchor2,2.575139,2.476547,-0.7057304,0.7583809,-9.409357,0,0,0.1902403,1.113785,2.385774,0,0,CleanLanding
2,LandingSegment_6,TargetAnchor3,0.6912632,0.6912231,-0.00743866,2.478624,-5.510876,0,0,1.113397,0.5332527,0.2386412,0,0,CleanLanding
2,LandingSegment_7,TargetAnchor4,0.5832931,0.5491562,-0.1966171,2.321723,-6.86562,0,0,0,0.5884514,0.4948176,0,0,CleanLanding
2,LandingSegment_8,TargetAnchor5,0.5313234,-0.4148865,-0.3319244,2.293971,-7.16576,0,0,0.001099019,0.5027962,0.1931948,0,0,CleanLanding
2,LandingSegment_9,TargetAnchor6,1.504842,1.049534,-1.078438,1.265532,-6.016924,0,0,0.9453551,0.5251732,0.2610342,0,0,CleanLanding
2,LandingSegment_10,TargetAnchor7,0.5523763,0.4521327,-0.3173256,2.406631,-4.454786,0,0,0,0.5424843,0.2676677,0,0,CleanLanding
2,LandingSegment_11,TargetAnchor8,10.2615,-6.233453,-8.151226,0,-4.454786,0,0,0,0,0,1,1,RightSideFall
3,LandingSegment_12,TargetAnchor1,3.240108,0.07321167,3.239281,0,-1.959029,0,1,2.095276,0.9752388,3.287626,1,0,MissedPlatform_Standing
3,LandingSegment_13,TargetAnchor2,2.803324,2.760529,-0.4879608,0.5274668,-5.667091,0,0,1.173577,1.108757,1.671795,0,0,CleanLanding
3,LandingSegment_14,TargetAnchor3,1.05734,0.3936081,-0.9813461,2.012987,-6.522816,0,0,0.8089225,0.530159,0.2398788,0,0,CleanLanding
3,LandingSegment_15,TargetAnchor4,1.678278,1.160217,-1.212646,1.251099,-3.490384,0,0,0.08814862,0.5576096,0.2929853,0,0,CleanLanding
3,LandingSegment_16,TargetAnchor5,1.83016,1.811928,0.2576904,1.087606,-5.991521,0,0,1.589154,2.026909,10.2063,0,0,CleanLanding
3,LandingSegment_17,TargetAnchor6,2.847157,2.805481,-0.4853668,0.093575,-1.725757,0,0,0.1653826,0.7039261,2.079821,0,0,EdgeLanding
3,LandingSegment_18,TargetAnchor7,1.504489,1.040872,-1.086311,1.491886,-5.431777,0,0,0.3031277,0.5414124,0.2785284,0,0,CleanLanding
3,LandingSegment_19,TargetAnchor8,16.46506,-13.20834,-9.830452,0,-5.431777,0,0,0,0,0,1,1,OverShoot
4,LandingSegment_20,TargetAnchor1,2.044161,-0.1935577,2.034977,0.901509,-4.02469,0,0,0.09827223,0.7579422,2.576601,0,0,CleanLanding
4,LandingSegment_21,TargetAnchor2,3.511326,3.175323,1.498909,0,-1.172944,0,0,0.2715675,2.011642,10.33502,1,0,MissedPlatform_Standing
4,LandingSegment_22,TargetAnchor3,1.247921,1.246765,0.05370331,1.920714,-7.890697,0,0,1.209613,0.5145416,0.2521486,0,0,CleanLanding
4,LandingSegment_23,TargetAnchor4,0.9348593,0.9344101,-0.02897644,1.965186,-4.699255,0,0,0.0468647,0.5949097,0.9076116,0,0,CleanLanding
4,LandingSegment_24,TargetAnchor5,0.5178577,0.4981308,-0.141571,2.256536,-6.435881,0,0,0.05304057,0.5238113,0.144039,0,0,CleanLanding
4,LandingSegment_25,TargetAnchor6,3.715371,3.450932,-1.37661,0,-1.413581,0,1,5.813705,0.985527,2.836025,1,0,MissedPlatform_Standing
4,LandingSegment_26,TargetAnchor7,0.4849842,0.364193,-0.3202705,2.486192,-6.947258,0,0,0.05387686,0.5322189,0.2747776,0,0,CleanLanding
4,LandingSegment_27,TargetAnchor8,17.13229,-13.35498,-10.73125,0,-6.947258,0,0,0,0,0,1,1,OverShoot
5,LandingSegment_28,TargetAnchor1,2.168427,0.1358185,2.164169,0.8053873,-7.100594,0,0,0.6753014,0.7108917,2.174764,0,0,CleanLanding
5,LandingSegment_29,TargetAnchor2,4.036288,3.485748,2.034988,0,-0.02579284,0,0,0,0.839386,3.768025,1,0,MissedPlatform_Standing
5,LandingSegment_30,TargetAnchor3,1.624483,1.564209,0.4384003,1.532365,-3.624388,0,0,0.480114,0.5839539,0.5150992,0,0,CleanLanding
5,LandingSegment_31,TargetAnchor4,3.647455,3.49501,-1.043472,0,-3.624388,0,0,0,0,0,1,1,UnderShoot
6,LandingSegment_32,TargetAnchor1,2.977201,0.8973236,2.838757,0.04292011,-4.826613,0,0,0.1516842,0.7798157,2.726513,0,0,EdgeLanding
6,LandingSegment_33,TargetAnchor2,2.016517,1.321838,1.522854,1.375313,-4.82917,0,0,0.2695528,1.236176,4.979596,0,0,CleanLanding
6,LandingSegment_34,TargetAnchor3,1.827828,1.648712,0.7891159,1.314397,-6.655822,0,0,0.416016,1.037079,2.301653,0,0,CleanLanding
6,LandingSegment_35,TargetAnchor4,0.4690658,0.4278259,-0.1923218,2.438229,-6.765217,0,0,0.06356937,0.5183716,0.1805501,0,0,CleanLanding
6,LandingSegment_36,TargetAnchor5,1.908329,1.614342,1.017654,1.141507,-7.889555,0,0,0.2928075,0.4981537,0.1710308,0,0,CleanLanding
6,LandingSegment_37,TargetAnchor6,1.80392,1.671791,0.6776733,1.298022,-6.374304,0,0,0.02610415,0.5863342,0.5356397,0,0,CleanLanding
6,LandingSegment_38,TargetAnchor7,2.621817,2.081097,-1.594666,0.3559067,-5.466116,0,0,0,0.6946869,1.9453,0,0,CleanLanding
6,LandingSegment_39,TargetAnchor8,17.15972,-13.46128,-10.6419,0,-5.466116,0,0,0,0,0,1,1,OverShoot
7,LandingSegment_40,TargetAnchor1,2.168317,0.6896667,2.055714,0.8529174,-3.436982,0,0,0.175285,0.5991821,0.970776,0,0,CleanLanding
7,LandingSegment_41,TargetAnchor2,1.946818,1.774689,0.8003616,1.400839,-4.979777,0,0,0.8814178,0.6279907,0.849123,0,0,CleanLanding
7,LandingSegment_42,TargetAnchor3,2.878703,1.737267,2.295395,0.2040443,3.696828,0,1,1.637079,1.173767,1.554423,0,0,EdgeLanding
7,LandingSegment_43,TargetAnchor4,0.3365828,0.3365097,-0.007011414,2.563436,-6.888263,0,0,0.1097246,0.5231323,0.1786224,0,0,CleanLanding
7,LandingSegment_44,TargetAnchor5,0.9311336,0.8275833,0.4267502,2.063798,-4.879638,0,1,1.683899,0.4872437,0.08237145,0,0,CleanLanding
7,LandingSegment_45,TargetAnchor6,0.7953007,0.7884064,-0.1044922,2.118119,-4.617815,0,0,0.02289499,0.6753082,1.562068,0,0,CleanLanding
7,LandingSegment_46,TargetAnchor7,1.762518,1.563193,-0.8141861,1.189948,-4.373974,0,0,0.2371242,0.6308899,1.050884,0,0,CleanLanding
7,LandingSegment_47,TargetAnchor8,27.84762,-19.21149,-20.15957,0,-4.373974,0,0,0,0,0,1,1,RightSideFall
