AttemptID;SegmentId;TargetPlatform;LandingOffset_m;LandingOffset_Forward_m;LandingOffset_Side_m;SafetyMargin_m;VerticalSpeed_mps;ApproachAngle_deg;MicroCorrections_0_5s;PreLandingHorizontalJitter;PostStabilizationTime_s;PostLandingDrift_m;LandingFailed;PostLandingFall;LandingType
1;LandingSegment_1;TargetAnchor1;1.344793;-0.1209412;-1.339344;1.656517;-23.72781;0;0;0.7283743;0.4538565;0.05867378;0;0;CleanLanding
1;LandingSegment_2;TargetAnchor2;1.184649;-0.527298;-1.060825;2.371136;-15.37733;0;0;0.1208754;0.5488882;0.2971598;0;0;CleanLanding
1;LandingSegment_3;TargetAnchor3;1.823256;-0.3361969;-1.791992;1.157121;-13.07434;0;0;0.5308253;0.5320854;0.2411132;0;0;CleanLanding
1;LandingSegment_4;TargetAnchor4;0.2036758;-0.123085;0.1622772;2.836089;-17.63712;0;0;0.01463361;0.5221138;0.169241;0;0;CleanLanding
1;LandingSegment_5;TargetAnchor5;2.305912;-2.275543;-0.3730087;0.7227364;-25.86759;0;0;0;0.5114708;0.1837927;0;0;CleanLanding
1;LandingSegment_6;TargetAnchor6;1.409324;-1.356121;-0.3835754;1.467898;-33.58656;0;0;0.8013245;0.4806519;0.1502518;0;0;CleanLanding
1;LandingSegment_7;TargetAnchor7;0.5498003;-0.4663491;-0.2912025;2.586763;-34.32379;0;0;0;0.5427246;0.2953375;0;0;CleanLanding
1;LandingSegment_8;TargetAnchor8;6.546167;-0.8466263;-6.491188;0;-34.32379;0;0;0.9614354;0;0;1;1;RightSideFall
2;LandingSegment_9;TargetAnchor1;9.40182;2.71788;9.000408;0;-34.32379;0;0;1.955726;0;0;1;1;LeftSideFall
3;LandingSegment_10;TargetAnchor1;1.808462;-0.1698456;-1.800468;1.195298;-18.53005;0;0;0;0.5068054;0.1778213;0;0;CleanLanding
3;LandingSegment_11;TargetAnchor2;1.25318;0.3262024;-1.20998;2.182969;-32.74786;0;0;0.4143779;0.3914566;0.02028933;0;0;CleanLanding
3;LandingSegment_12;TargetAnchor3;1.76782;0.1299362;-1.763039;1.256498;-34.43521;0;0;1.324482;0.4647217;0.05800133;0;0;CleanLanding
3;LandingSegment_13;TargetAnchor4;1.498423;-0.8888626;-1.206314;1.558646;-33.12044;0;0;0;0.5154877;0.160951;0;0;CleanLanding
