EventType;SegmentID;ElementID;TimeOnPlatform;RelativePositionStd;RelativePositionMean;RelativePositionMax;RelativePositionMin;SampleCount;EdgeRiskTime;CorrectionPeaks;ObstacleType;ClearType;MinClearance;MicroCorrections;ObstacleDuration
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
Platform;0;0;3.20;0.6979;1.4826;2.9587;0.3013;103;0.12;0;6
Platform;0;0;3.06;0.5405;1.6108;2.3550;0.5082;101;0.83;0;6
Platform;1;0;0.74;1.4557;4.1397;7.1051;2.1330;25;0.00;0;1
DEATH;;;;;;;;;;;;;;;
Platform;0;0;3.90;0.8370;2.6666;4.7555;0.0959;129;1.02;0;8
DEATH;;;;;;;;;;;;;;;
