EventType;AttemptID;SegmentID;GateID;EntryTime;ExitTime;TimeToClear_s;Cleared;ObstacleTouched;ContactDuration_s;ContactCount;FirstContactTime_s;JetpackActiveTime_s;CrouchTime_s;AirborneTime_s;ContactX;ContactY;ContactZ
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
GATE;1;1;1;1152.9600;1154.3800;1.4200;1;1;0.0801;3;0.7400;0.0000;0.0000;0.7196;109.6224;2.4084;11.1423
GATE;2;2;2;1158.3600;1159.5400;1.1799;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.6011;157.6779;2.3199;10.9076
GATE;3;3;3;1161.6400;1163.3600;1.7200;1;0;0.0000;0;-1.0000;0.0748;0.0000;0.8207;187.8502;2.2975;10.8371
GATE;4;4;4;1173.8600;1174.8400;0.9800;1;1;0.1400;3;0.4800;0.0000;0.0000;0.5768;178.3295;2.2474;57.3808
GATE;5;5;5;1174.8400;1175.6400;0.8000;1;1;0.1000;1;0.4000;0.0000;0.0000;0.5456;0;0;0
GATE;6;6;6;1175.8400;1176.9000;1.0601;1;1;0.1200;3;0.6200;0.0000;0.0000;0.6663;0;0;0
DEATH;;;;;;;;;;;;;
GATE;4;4;4;1189.4400;1190.4400;1.0000;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.0000;0;0;0
GATE;5;5;5;1190.4800;1191.8200;1.3400;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.3028;0;0;0
GATE;6;6;6;1192.0800;1192.8000;0.7200;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.5977;0;0;0
GATE;7;7;7;1194.7800;1196.4000;1.6200;1;1;0.0200;1;0.3600;0.1212;0.0000;1.0663;0;0;0
GATE;8;8;8;1197.1800;1200.3800;3.2001;1;1;0.7001;1;1.6200;0.5089;0.0000;2.2527;87.4616;5.2626;58.9422
DEATH;;;;;;;;;;;;;
GATE;4;4;4;1209.7800;1210.8400;1.0599;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.0000;0;0;0
GATE;5;5;5;1210.8400;1211.9000;1.0601;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.0000;0;0;0
GATE;6;6;6;1212.1800;1213.2400;1.0601;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.0000;0;0;0
GATE;7;7;7;1215.1600;1217.1000;1.9401;1;1;0.0399;1;0.4801;0.3691;0.0000;1.4060;108.2840;2.5529;55.0235
GATE;8;8;8;1217.8200;1218.0600;0.2400;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.2386;0;0;0
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
GATE;4;4;4;1259.0400;1260.0800;1.0400;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.0000;0;0;0
GATE;5;5;5;1260.1200;1261.1400;1.0200;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.0000;0;0;0
GATE;6;6;6;1261.4600;1262.4800;1.0200;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.0000;0;0;0
GATE;7;7;7;1264.4400;1265.3600;0.9200;1;0;0.0000;0;-1.0000;0.1190;0.0000;0.7028;108.4478;2.3077;55.3766
GATE;8;8;8;1265.9200;1267.6200;1.7001;1;1;0.0399;1;0.4601;0.0000;0.0000;1.0617;87.2977;1.8607;62.3503
GATE;8;8;8;1268.0400;1268.2400;0.2001;1;0;0.0000;0;-1.0000;0.1155;0.0000;0.1940;0;0;0
