AttemptID;LapID;LapDuration_s;AttemptDuration_s;LapProgress_0_1;DeathOccurred;MeanDeviation_m;SpeedSD_mps;MicroCorrectionsRate_per_s;ObstacleHitRate
4;1;17.502;85.714;0.603;1;8.7849;4.8765;0.5142;0.154
5;1;25.960;36.178;1.000;0;9.4946;4.6232;1.4253;0.385
5;2;14.028;64.126;0.577;1;8.5578;2.7802;0.0713;0.000
6;1;24.293;37.825;0.809;1;9.0844;4.8385;1.3996;0.462
7;1;18.981;31.228;0.647;1;8.0471;4.2630;1.4225;0.231
8;1;16.057;26.857;0.606;1;10.0321;4.7205;1.8061;0.231
9;1;25.643;35.886;1.000;1;9.9943;4.5197;3.1198;0.385
10;1;38.162;49.999;0.760;1;17.3157;6.9082;1.3626;0.385
11;1;25.395;38.853;0.760;1;10.6642;3.6992;2.6777;0.462
12;1;26.385;37.689;0.858;1;9.2446;3.3813;2.2740;0.308
13;1;14.253;24.968;0.548;1;9.4343;3.8057;2.8767;0.077
15;1;10.262;19.759;0.505;1;8.7729;3.0350;3.6055;0.077
16;1;26.140;35.218;1.000;0;7.5797;4.4082;2.9457;0.385
16;2;18.345;68.263;0.634;1;5.7280;4.1500;1.2538;0.231
17;1;23.824;36.239;0.747;1;9.7181;4.4662;2.6864;0.538
18;1;5.317;19.193;0.377;1;6.5049;4.0258;0.1881;0.000
20;1;26.500;35.559;1.000;0;9.1387;4.1843;3.1698;0.231
20;2;25.420;75.159;1.000;0;6.2772;4.9015;1.9670;0.308
20;3;9.519;98.218;0.416;1;9.1045;6.5949;1.8910;0.000
